Order_ID,Customer_ID,City,Category,Product_Name,Quantity,Price_per_Unit,Order_Date,Delivery_Time_Minutes,Payment_Method,Rating,Total_Amount
100021,2685,Mumbai,Dairy,Juice,1,102.97,2024-07-07,29,UPI,1.3,102.97
100022,4380,Delhi,Vegetables,Apple,6,46.28,2024-07-29,50,Card,2.3,277.68
100023,1769,Pune,Fruits,Banana,8,12.98,2024-08-30,10,Cash,1.5,103.84
100024,3391,Mumbai,Snacks,Banana,7,89.42,2024-06-14,54,Cash,4.8,625.94
100025,2515,Delhi,Dairy,Juice,2,26.27,2024-03-01,35,UPI,2.4,52.54
100026,4485,Mumbai,Vegetables,Chips,5,27.89,2024-12-27,43,UPI,3.9,139.45
100027,3853,Bangalore,Snacks,Apple,4,60.79,2024-10-05,19,Card,3.3,243.16
100028,3433,Pune,Snacks,Milk,9,129.79,2024-04-22,32,Card,1.4,1168.11
100029,2215,Hyderabad,Beverages,Bread,1,110.68,2024-01-30,58,Cash,3.2,110.68
100030,1955,Mumbai,Snacks,Chips,6,23.11,2024-11-18,33,UPI,3.6,138.66
100031,3324,Bangalore,Vegetables,Apple,3,194.0,2024-06-09,22,Card,4.5,582.0
100032,2184,Hyderabad,Vegetables,Banana,9,178.56,2024-08-21,38,Cash,1.3,1607.04
100033,1459,Hyderabad,Dairy,Apple,5,59.25,2024-12-04,55,Cash,2.2,296.25
100034,4385,Mumbai,Dairy,Bread,6,33.24,2024-06-18,36,Card,3.8,199.44
100035,1021,Delhi,Dairy,Juice,9,189.06,2024-11-13,40,UPI,1.1,1701.54
100036,3300,Mumbai,Snacks,Bread,9,97.62,2024-07-04,52,Cash,1.8,878.58
100037,1747,Bangalore,Snacks,Milk,8,69.12,2024-02-26,19,Card,1.9,552.96
100038,3904,Hyderabad,Beverages,Milk,9,103.17,2024-08-27,40,Cash,3.7,928.53
100039,4632,Mumbai,Dairy,Bread,4,156.82,2024-09-13,48,UPI,2.1,627.28
100040,1474,Delhi,Fruits,Chips,6,41.99,2024-12-23,19,Card,3.4,251.94
100041,2082,Mumbai,Beverages,Chips,5,155.82,2024-07-19,33,UPI,4.9,779.0999999999999
100042,3558,Pune,Fruits,Banana,5,152.39,2024-11-20,42,UPI,4.2,761.9499999999999
100043,4753,Delhi,Snacks,Milk,4,112.48,2024-11-10,23,Cash,2.3,449.92
100044,3047,Bangalore,Beverages,Banana,2,174.51,2024-10-28,44,UPI,2.9,349.02
100045,4547,Hyderabad,Beverages,Milk,6,35.11,2024-04-15,54,Cash,1.8,210.66
100046,3747,Mumbai,Vegetables,Bread,9,123.14,2024-10-16,43,Card,1.1,1108.26
100047,1975,Delhi,Snacks,Chips,1,95.38,2024-04-10,26,Card,2.2,95.38
100048,2806,Pune,Snacks,Chips,7,90.24,2024-04-06,30,Cash,2.5,631.68
100049,1189,Delhi,Beverages,Bread,6,57.99,2024-06-01,41,Cash,3.3,347.94
100050,4005,Pune,Snacks,Banana,3,80.73,2024-01-29,12,Cash,4.8,242.19
100051,3734,Bangalore,Beverages,Banana,1,30.55,2024-06-01,24,UPI,4.8,30.55
100052,4005,Hyderabad,Vegetables,Apple,4,57.8,2024-03-13,17,Card,1.3,231.2
100053,1562,Bangalore,Beverages,Milk,9,61.67,2024-09-10,41,Card,3.5,555.03
100054,2899,Mumbai,Snacks,Banana,2,146.93,2024-01-04,47,UPI,1.2,293.86
100055,4638,Delhi,Snacks,Bread,3,19.22,2024-08-24,35,Cash,3.6,57.66
100056,2267,Pune,Beverages,Banana,2,133.73,2024-02-07,39,Card,1.5,267.46
100057,3879,Pune,Beverages,Chips,2,52.07,2024-01-20,18,UPI,4.8,104.14
100058,2528,Delhi,Beverages,Milk,8,25.55,2024-04-22,41,Cash,4.5,204.4
100059,4202,Delhi,Dairy,Juice,3,67.15,2024-01-23,20,Card,1.1,201.45000000000002
100060,4556,Mumbai,Snacks,Apple,7,52.65,2024-05-15,31,Cash,4.1,368.55
100061,4890,Bangalore,Snacks,Milk,8,114.89,2024-09-04,43,UPI,3.5,919.12
100062,1646,Pune,Dairy,Chips,3,77.9,2024-10-27,50,Card,3.0,233.70000000000002
100063,3068,Mumbai,Beverages,Chips,2,193.54,2024-04-06,27,Cash,3.4,387.08
100064,3888,Bangalore,Vegetables,Chips,8,193.07,2024-02-02,28,Cash,3.7,1544.56
100065,3214,Mumbai,Beverages,Chips,3,94.31,2024-05-14,27,Cash,4.5,282.93
100066,2297,Pune,Beverages,Bread,7,161.07,2024-09-11,46,UPI,4.1,1127.49
100067,3435,Delhi,Dairy,Apple,1,12.52,2024-10-04,27,Cash,3.3,12.52
100068,1600,Delhi,Snacks,Juice,6,114.08,2024-05-12,21,Card,4.3,684.48
100069,3363,Bangalore,Beverages,Chips,9,151.23,2024-08-25,13,Card,4.9,1361.07
100070,3061,Hyderabad,Snacks,Chips,3,51.22,2024-01-15,56,Cash,2.2,153.66
100071,1241,Bangalore,Fruits,Banana,7,21.62,2024-10-03,52,UPI,1.5,151.34
100072,3041,Hyderabad,Snacks,Apple,6,39.62,2024-05-05,36,Card,3.9,237.71999999999997
100073,3824,Mumbai,Vegetables,Milk,8,93.95,2024-12-10,14,Card,4.9,751.6
100074,4417,Mumbai,Vegetables,Apple,3,106.21,2024-01-17,15,Card,1.5,318.63
100075,3612,Pune,Beverages,Apple,3,82.37,2024-11-07,22,Cash,2.7,247.11
100076,3945,Hyderabad,Snacks,Juice,4,93.6,2024-02-19,32,Card,1.2,374.4
100077,2363,Pune,Beverages,Apple,3,99.34,2024-05-14,51,Cash,4.1,298.02
100078,3139,Delhi,Dairy,Juice,9,156.19,2024-04-27,34,Cash,4.8,1405.71
100079,2390,Hyderabad,Vegetables,Chips,4,30.0,2024-11-01,55,Cash,3.0,120.0
100080,4003,Bangalore,Beverages,Chips,6,156.1,2024-02-29,13,Cash,2.6,936.5999999999999
100081,2478,Delhi,Dairy,Bread,8,140.84,2024-05-04,41,Cash,4.6,1126.72
100082,4499,Delhi,Beverages,Juice,8,150.92,2024-04-25,53,Card,1.5,1207.36
100083,3556,Bangalore,Snacks,Juice,5,149.55,2024-06-21,24,Cash,4.6,747.75
100084,1775,Delhi,Snacks,Milk,5,99.41,2024-07-05,35,Cash,2.6,497.04999999999995
100085,1034,Hyderabad,Snacks,Banana,6,50.17,2024-03-28,51,Cash,3.2,301.02
100086,3253,Pune,Snacks,Apple,7,111.96,2024-07-21,20,Cash,3.1,783.7199999999999
100087,4152,Delhi,Fruits,Milk,7,192.02,2024-12-26,18,Cash,3.5,1344.14
100088,2955,Hyderabad,Dairy,Juice,4,121.82,2024-11-06,20,Cash,4.8,487.28
100089,2585,Mumbai,Dairy,Milk,6,12.1,2024-11-15,11,Card,4.8,72.6
100090,4943,Hyderabad,Snacks,Bread,7,21.35,2024-06-30,54,Cash,4.3,149.45000000000002
100091,4459,Pune,Fruits,Banana,5,198.64,2024-12-17,36,Cash,1.8,993.1999999999999
100092,4073,Hyderabad,Snacks,Juice,5,23.67,2024-06-16,35,Card,2.3,118.35000000000001
100093,2021,Bangalore,Fruits,Juice,2,18.75,2024-06-29,17,Card,3.0,37.5
100094,4461,Pune,Snacks,Apple,7,77.07,2024-10-26,30,UPI,4.6,539.49
100095,3613,Mumbai,Vegetables,Banana,6,194.17,2024-05-09,30,Card,3.1,1165.02
100096,2129,Bangalore,Vegetables,Bread,1,70.55,2024-05-28,17,Card,4.9,70.55
100097,4843,Hyderabad,Beverages,Chips,4,87.88,2024-11-01,10,Cash,4.9,351.52
100098,4893,Pune,Snacks,Milk,3,130.47,2024-07-27,47,UPI,3.4,391.40999999999997
100099,2500,Mumbai,Dairy,Apple,3,14.58,2024-04-20,22,Cash,4.5,43.74
100100,1702,Bangalore,Beverages,Juice,7,180.58,2024-05-16,18,UPI,5.0,1264.0600000000002
100101,3449,Mumbai,Vegetables,Chips,4,108.69,2024-12-20,37,Cash,4.4,434.76
100102,3777,Hyderabad,Snacks,Bread,8,98.69,2024-07-29,15,Card,3.6,789.52
100103,2579,Mumbai,Beverages,Banana,9,173.54,2024-05-25,56,Card,4.4,1561.86
100104,1161,Delhi,Snacks,Milk,3,191.08,2024-03-24,32,UPI,1.3,573.24
100105,1201,Bangalore,Vegetables,Apple,5,90.45,2024-01-30,57,Cash,3.5,452.25
100106,2981,Mumbai,Beverages,Juice,4,42.76,2024-03-05,45,Cash,1.9,171.04
100107,1995,Hyderabad,Vegetables,Juice,6,164.98,2024-01-24,26,Card,1.5,989.8799999999999
100108,3317,Hyderabad,Fruits,Chips,4,86.62,2024-07-29,18,Card,4.6,346.48
100109,4934,Mumbai,Vegetables,Chips,8,187.75,2024-08-09,21,UPI,3.6,1502.0
100110,1815,Hyderabad,Snacks,Milk,3,190.48,2024-03-30,31,Card,2.0,571.4399999999999
100111,4342,Pune,Dairy,Banana,5,31.82,2024-04-15,21,UPI,2.5,159.1
100112,1455,Pune,Vegetables,Bread,1,191.75,2024-06-20,15,UPI,4.9,191.75
100113,4533,Pune,Dairy,Banana,6,79.97,2024-08-17,53,UPI,4.4,479.82
100114,4798,Delhi,Fruits,Banana,5,132.79,2024-03-17,18,UPI,1.1,663.9499999999999
100115,2275,Mumbai,Beverages,Banana,8,16.6,2024-03-08,46,Card,4.9,132.8
100116,2016,Delhi,Beverages,Milk,9,178.89,2024-12-30,12,UPI,2.5,1610.0099999999998
100117,4773,Hyderabad,Dairy,Milk,8,131.9,2024-12-18,43,Card,3.8,1055.2
100118,3343,Delhi,Beverages,Bread,8,132.28,2024-04-01,17,UPI,3.9,1058.24
100119,4796,Hyderabad,Vegetables,Banana,3,181.41,2024-03-28,19,Card,4.6,544.23
100120,3767,Hyderabad,Dairy,Milk,4,106.59,2024-02-19,56,UPI,4.5,426.36
100121,4820,Bangalore,Snacks,Bread,4,88.0,2024-04-12,50,Card,2.1,352.0
100122,1337,Pune,Vegetables,Juice,5,174.56,2024-02-15,51,Cash,3.6,872.8
100123,1878,Hyderabad,Vegetables,Bread,9,151.06,2024-06-27,52,UPI,2.6,1359.54
100124,2076,Bangalore,Vegetables,Banana,9,190.31,2024-09-23,18,UPI,3.1,1712.79
100125,1791,Pune,Snacks,Apple,1,188.62,2024-09-24,23,Cash,3.2,188.62
100126,4993,Hyderabad,Fruits,Banana,8,82.64,2024-11-15,46,Cash,2.6,661.12
100127,3264,Hyderabad,Beverages,Apple,1,94.93,2024-01-08,36,UPI,2.9,94.93
100128,1763,Delhi,Dairy,Bread,2,58.64,2024-09-21,50,Card,1.8,117.28
100129,3235,Delhi,Fruits,Juice,7,135.52,2024-03-18,41,UPI,3.4,948.6400000000001
100130,1379,Pune,Dairy,Juice,8,79.26,2024-08-27,13,Card,4.0,634.08
100131,1492,Hyderabad,Beverages,Milk,1,159.36,2024-09-14,11,Cash,2.7,159.36
100132,4112,Mumbai,Snacks,Juice,3,33.09,2024-07-14,42,Card,4.9,99.27000000000001
100133,2180,Delhi,Vegetables,Chips,7,32.12,2024-11-25,30,UPI,1.2,224.83999999999997
100134,3062,Pune,Vegetables,Bread,9,48.85,2024-05-10,10,Cash,3.4,439.65000000000003
100135,4884,Hyderabad,Snacks,Milk,8,26.02,2024-12-08,53,Cash,3.3,208.16
100136,1064,Hyderabad,Fruits,Juice,8,127.81,2024-09-17,20,UPI,1.1,1022.48
100137,4928,Mumbai,Fruits,Bread,9,38.0,2024-08-29,10,UPI,1.9,342.0
100138,4910,Pune,Dairy,Banana,3,40.39,2024-06-19,55,Cash,4.6,121.17
100139,3568,Hyderabad,Snacks,Juice,8,12.7,2024-05-26,20,Card,3.2,101.6
100140,2367,Delhi,Fruits,Apple,1,158.6,2024-09-26,16,Card,2.7,158.6
100141,2152,Mumbai,Snacks,Bread,8,164.34,2024-05-28,11,Card,2.7,1314.72
100142,3027,Pune,Beverages,Milk,7,40.78,2024-10-25,24,UPI,4.6,285.46000000000004
100143,3695,Mumbai,Vegetables,Banana,8,150.51,2024-01-28,17,Cash,2.5,1204.08
100144,2495,Delhi,Vegetables,Chips,1,92.37,2024-05-28,56,Card,4.4,92.37
100145,4134,Pune,Vegetables,Banana,6,55.52,2024-10-06,35,Cash,2.2,333.12
100146,2162,Mumbai,Snacks,Juice,7,128.06,2024-06-30,49,Card,3.1,896.4200000000001
100147,2522,Bangalore,Snacks,Apple,5,43.91,2024-06-14,51,Cash,1.6,219.54999999999998
100148,3640,Delhi,Dairy,Banana,5,153.81,2024-01-17,44,UPI,4.3,769.05
100149,1391,Delhi,Vegetables,Chips,7,19.05,2024-05-29,55,UPI,3.9,133.35
100150,2698,Delhi,Dairy,Milk,3,192.23,2024-12-04,50,UPI,3.1,576.6899999999999
100151,1418,Bangalore,Vegetables,Bread,6,23.66,2024-02-14,50,Card,1.1,141.96
100152,3336,Bangalore,Dairy,Apple,7,120.1,2024-11-25,30,UPI,2.9,840.6999999999999
100153,1378,Hyderabad,Dairy,Chips,1,181.42,2024-07-07,47,UPI,1.9,181.42
100154,2796,Mumbai,Beverages,Juice,2,12.26,2024-05-18,17,UPI,2.7,24.52
100155,4561,Hyderabad,Dairy,Juice,4,104.72,2024-03-01,52,Cash,4.4,418.88
100156,3278,Mumbai,Snacks,Juice,8,76.5,2024-10-20,41,Cash,4.1,612.0
100157,4065,Bangalore,Dairy,Apple,6,120.26,2024-11-17,17,Cash,2.0,721.5600000000001
100158,3088,Bangalore,Vegetables,Banana,1,52.84,2024-02-02,53,Cash,4.9,52.84
100159,4099,Hyderabad,Dairy,Apple,5,22.33,2024-10-25,19,Cash,4.6,111.64999999999999
100160,3182,Pune,Fruits,Juice,7,128.93,2024-04-21,32,Cash,3.1,902.51
100161,1200,Hyderabad,Vegetables,Chips,6,89.2,2024-10-17,13,Cash,3.1,535.2
100162,2863,Mumbai,Fruits,Bread,9,128.27,2024-02-06,57,UPI,4.6,1154.43
100163,1779,Hyderabad,Vegetables,Bread,8,50.0,2024-04-09,47,UPI,3.5,400.0
100164,3977,Delhi,Snacks,Apple,4,74.36,2024-01-23,39,Card,3.1,297.44
100165,4104,Mumbai,Snacks,Juice,5,116.72,2024-08-05,50,UPI,4.0,583.6
100166,4119,Mumbai,Snacks,Milk,7,122.69,2024-03-29,32,Cash,1.9,858.8299999999999
100167,1502,Pune,Fruits,Apple,8,80.74,2024-07-27,14,Cash,4.5,645.92
100168,3454,Bangalore,Beverages,Juice,5,63.21,2024-09-27,30,Card,3.1,316.05
100169,4645,Mumbai,Vegetables,Banana,9,62.0,2024-08-24,15,UPI,3.4,558.0
100170,2751,Bangalore,Snacks,Bread,4,43.19,2024-07-27,58,UPI,1.4,172.76
100171,1804,Hyderabad,Vegetables,Bread,4,71.83,2024-10-04,26,Card,2.2,287.32
100172,3146,Delhi,Fruits,Bread,8,47.89,2024-07-24,34,Cash,2.7,383.12
100173,3731,Pune,Beverages,Milk,1,130.42,2024-03-18,33,Cash,2.7,130.42
100174,2895,Bangalore,Fruits,Juice,8,118.12,2024-11-23,31,Cash,4.1,944.96
100175,3773,Mumbai,Vegetables,Juice,5,82.69,2024-04-07,22,Cash,2.1,413.45
100176,2570,Bangalore,Beverages,Juice,1,71.91,2024-12-11,26,Card,1.7,71.91
100177,1960,Mumbai,Beverages,Juice,4,55.15,2024-12-30,23,UPI,3.3,220.6
100178,4810,Bangalore,Fruits,Milk,2,111.74,2024-12-15,43,Cash,3.5,223.48
100179,3660,Mumbai,Snacks,Chips,4,184.59,2024-12-01,35,UPI,1.5,738.36
100180,2485,Hyderabad,Vegetables,Apple,8,140.28,2024-04-03,28,UPI,1.0,1122.24
100181,3690,Mumbai,Dairy,Apple,5,151.44,2024-03-20,35,Cash,4.7,757.2
100182,4840,Mumbai,Dairy,Juice,1,168.53,2024-02-07,12,Cash,1.3,168.53
100183,2028,Delhi,Fruits,Banana,7,76.81,2024-08-15,11,Cash,4.6,537.6700000000001
100184,4289,Mumbai,Vegetables,Bread,1,21.95,2024-05-13,37,UPI,2.6,21.95
100185,1502,Delhi,Vegetables,Milk,9,128.29,2024-07-14,11,Card,3.6,1154.61
100186,3814,Pune,Fruits,Banana,3,45.85,2024-10-08,31,Cash,1.7,137.55
100187,1397,Delhi,Vegetables,Banana,3,118.12,2024-04-10,16,UPI,4.3,354.36
100188,1870,Hyderabad,Snacks,Juice,6,150.51,2024-03-15,13,UPI,1.7,903.06
100189,3842,Delhi,Fruits,Milk,6,158.89,2024-10-20,58,Cash,2.5,953.3399999999999
100190,1392,Pune,Snacks,Apple,6,67.35,2024-07-26,47,Card,2.0,404.09999999999997
100191,1206,Hyderabad,Vegetables,Bread,1,107.36,2024-03-23,48,Cash,4.4,107.36
100192,2038,Bangalore,Fruits,Apple,5,127.98,2024-05-22,29,Cash,4.4,639.9
100193,2881,Bangalore,Vegetables,Banana,6,165.7,2024-02-25,15,Card,2.5,994.1999999999999
100194,4625,Delhi,Fruits,Bread,8,154.66,2024-12-26,18,Cash,2.2,1237.28
100195,3939,Delhi,Vegetables,Chips,1,197.72,2024-10-13,40,Cash,4.1,197.72
100196,2484,Pune,Snacks,Banana,5,11.54,2024-07-29,35,Card,4.5,57.699999999999996
100197,4762,Pune,Snacks,Apple,3,93.12,2024-06-27,45,UPI,3.5,279.36
100198,4646,Mumbai,Vegetables,Apple,2,58.65,2024-02-27,35,UPI,4.7,117.3
100199,1863,Pune,Fruits,Juice,8,32.78,2024-03-13,37,UPI,2.5,262.24
100200,3790,Mumbai,Dairy,Apple,7,183.19,2024-08-02,14,UPI,1.6,1282.33
100201,4312,Hyderabad,Snacks,Milk,7,199.61,2024-09-22,19,UPI,1.7,1397.27
100202,1563,Delhi,Snacks,Banana,5,44.31,2024-03-13,27,Cash,3.7,221.55
100203,2020,Hyderabad,Dairy,Bread,9,17.3,2024-09-27,24,Card,2.6,155.70000000000002
100204,1095,Pune,Vegetables,Apple,5,62.26,2024-12-19,42,UPI,1.6,311.3
100205,2923,Hyderabad,Fruits,Juice,2,168.62,2024-08-21,14,Card,2.2,337.24
100206,2757,Hyderabad,Vegetables,Juice,3,65.84,2024-11-14,46,UPI,3.1,197.52
100207,3532,Hyderabad,Beverages,Apple,4,20.81,2024-01-19,49,Cash,1.5,83.24
100208,4478,Pune,Snacks,Milk,5,19.97,2024-04-22,31,UPI,1.0,99.85
100209,3278,Hyderabad,Beverages,Juice,3,91.21,2024-03-03,31,UPI,4.7,273.63
100210,3796,Mumbai,Snacks,Bread,7,187.05,2024-07-02,31,Card,2.2,1309.3500000000001
100211,2678,Pune,Snacks,Banana,5,64.32,2024-10-03,24,Card,1.9,321.59999999999997
100212,4242,Hyderabad,Beverages,Chips,5,91.16,2024-06-10,26,Cash,3.8,455.79999999999995
100213,1540,Pune,Beverages,Milk,6,29.37,2024-08-30,54,Card,4.4,176.22
100214,2059,Bangalore,Vegetables,Juice,7,103.78,2024-05-24,37,Card,3.5,726.46
100215,3572,Mumbai,Beverages,Banana,8,142.34,2024-05-25,31,Card,2.0,1138.72
100216,2183,Hyderabad,Vegetables,Chips,9,61.52,2024-03-21,30,Cash,4.4,553.6800000000001
100217,4910,Bangalore,Vegetables,Apple,4,66.38,2024-11-17,51,Cash,3.0,265.52
100218,2722,Bangalore,Vegetables,Apple,5,169.98,2024-11-16,26,Cash,2.5,849.9
100219,4314,Pune,Snacks,Bread,5,11.97,2024-02-12,14,Card,3.4,59.85
100220,4157,Bangalore,Snacks,Chips,8,130.93,2024-11-08,27,Card,3.8,1047.44
100221,2819,Mumbai,Beverages,Apple,9,84.84,2024-10-19,26,Cash,3.4,763.5600000000001
100222,3625,Mumbai,Snacks,Apple,7,66.69,2024-06-24,13,Card,4.7,466.83
100223,3729,Delhi,Beverages,Juice,5,134.94,2024-03-09,16,Card,3.5,674.7
100224,3604,Mumbai,Snacks,Bread,3,168.59,2024-02-25,34,UPI,4.5,505.77
100225,2597,Bangalore,Fruits,Banana,1,116.09,2024-04-28,46,Cash,3.3,116.09
100226,4060,Mumbai,Fruits,Apple,9,15.91,2024-07-22,49,Cash,2.3,143.19
100227,3693,Pune,Beverages,Milk,5,97.67,2024-02-24,49,Card,3.1,488.35
100228,1795,Delhi,Snacks,Milk,9,97.92,2024-02-07,52,Card,1.3,881.28
100229,2051,Bangalore,Snacks,Banana,4,113.32,2024-08-30,18,UPI,1.9,453.28
100230,2643,Delhi,Vegetables,Chips,5,137.48,2024-07-19,28,Cash,4.1,687.4
100231,4627,Bangalore,Dairy,Bread,4,13.67,2024-08-23,18,Cash,3.6,54.68
100232,2363,Pune,Beverages,Juice,2,105.38,2024-01-15,32,Card,1.7,210.76
100233,4869,Delhi,Dairy,Milk,1,121.78,2024-05-23,40,Cash,2.8,121.78
100234,2981,Hyderabad,Dairy,Milk,8,75.24,2024-03-17,41,Card,1.6,601.92
100235,2354,Bangalore,Beverages,Banana,4,136.99,2024-11-04,40,UPI,4.4,547.96
100236,2663,Hyderabad,Snacks,Chips,5,53.35,2024-09-19,26,Card,1.4,266.75
100237,2529,Delhi,Beverages,Chips,6,70.3,2024-07-03,57,UPI,3.6,421.79999999999995
100238,3038,Hyderabad,Dairy,Banana,8,192.92,2024-02-24,48,Card,3.4,1543.36
100239,4419,Hyderabad,Snacks,Milk,8,76.13,2024-11-03,31,UPI,2.9,609.04
100240,2496,Delhi,Fruits,Bread,7,75.84,2024-01-04,44,UPI,2.1,530.88
100241,4302,Pune,Beverages,Milk,4,123.18,2024-10-25,39,Cash,2.6,492.72
100242,3237,Hyderabad,Beverages,Chips,6,194.49,2024-02-09,49,Card,4.2,1166.94
100243,4296,Hyderabad,Snacks,Juice,4,196.79,2024-08-17,46,Cash,4.0,787.16
100244,2408,Pune,Fruits,Milk,7,120.14,2024-10-12,35,Cash,4.0,840.98
100245,2400,Hyderabad,Fruits,Bread,1,10.21,2024-05-17,15,Card,4.0,10.21
100246,2306,Hyderabad,Snacks,Apple,5,181.12,2024-04-12,43,Cash,1.6,905.6
100247,3680,Hyderabad,Vegetables,Milk,4,118.35,2024-01-07,41,Cash,1.4,473.4
100248,3675,Mumbai,Beverages,Banana,7,79.54,2024-06-12,34,Cash,4.4,556.7800000000001
100249,1972,Pune,Beverages,Apple,9,167.55,2024-12-30,22,Card,4.3,1507.95
100250,2768,Hyderabad,Dairy,Banana,5,85.97,2024-10-02,47,Cash,3.7,429.85
100251,2282,Pune,Snacks,Banana,4,16.47,2024-02-18,47,Cash,3.4,65.88
100252,4430,Bangalore,Dairy,Banana,9,166.0,2024-04-05,11,Cash,2.5,1494.0
100253,1709,Bangalore,Dairy,Milk,5,113.71,2024-02-28,14,Card,1.9,568.55
100254,2479,Hyderabad,Fruits,Chips,9,74.25,2024-08-18,20,UPI,3.7,668.25
100255,2434,Pune,Beverages,Apple,8,57.67,2024-06-25,20,UPI,4.7,461.36
100256,1648,Pune,Dairy,Bread,4,122.82,2024-03-30,33,UPI,2.7,491.28
100257,1317,Pune,Fruits,Chips,7,49.53,2024-10-08,23,UPI,2.2,346.71000000000004
100258,4748,Mumbai,Snacks,Milk,5,71.53,2024-02-05,54,Cash,2.1,357.65
100259,4296,Bangalore,Dairy,Banana,4,130.94,2024-06-19,39,Card,1.1,523.76
100260,4890,Pune,Beverages,Bread,5,177.49,2024-05-05,49,Cash,3.1,887.45
100261,2257,Pune,Dairy,Apple,5,111.25,2024-10-25,56,Card,5.0,556.25
100262,1683,Mumbai,Snacks,Chips,9,154.23,2024-12-20,53,Cash,4.3,1388.07
100263,1663,Mumbai,Dairy,Juice,9,154.98,2024-07-22,44,UPI,4.6,1394.82
100264,2998,Pune,Beverages,Chips,6,136.23,2024-10-15,30,UPI,3.5,817.3799999999999
100265,4898,Delhi,Fruits,Bread,4,56.71,2024-12-21,14,Card,2.9,226.84
100266,4445,Pune,Beverages,Milk,2,174.69,2024-04-06,47,Cash,5.0,349.38
100267,4743,Pune,Fruits,Apple,3,92.89,2024-08-25,11,UPI,2.8,278.67
100268,2631,Mumbai,Vegetables,Bread,2,18.4,2024-06-21,49,Card,4.7,36.8
100269,2495,Mumbai,Beverages,Banana,5,56.48,2024-10-27,46,Cash,4.0,282.4
100270,4304,Pune,Beverages,Apple,6,155.45,2024-03-28,58,Card,2.3,932.6999999999999
100271,4763,Pune,Snacks,Chips,5,23.14,2024-12-16,43,Cash,3.0,115.7
100272,2136,Pune,Dairy,Bread,2,38.0,2024-01-17,20,Cash,2.5,76.0
100273,2853,Mumbai,Fruits,Chips,5,141.9,2024-05-19,45,Cash,1.5,709.5
100274,2520,Pune,Fruits,Chips,9,179.59,2024-09-10,20,Card,2.4,1616.31
100275,3489,Pune,Snacks,Chips,4,130.41,2024-10-04,18,Card,4.6,521.64
100276,1563,Hyderabad,Snacks,Milk,2,52.24,2024-05-30,15,Cash,4.0,104.48
100277,2291,Delhi,Dairy,Chips,3,20.15,2024-12-11,43,UPI,2.1,60.449999999999996
100278,4581,Bangalore,Dairy,Banana,3,126.87,2024-11-29,56,Cash,2.5,380.61
100279,4878,Delhi,Beverages,Banana,9,19.01,2024-05-19,46,Card,3.5,171.09
100280,4457,Hyderabad,Vegetables,Apple,4,126.42,2024-04-23,41,Cash,2.7,505.68
100281,4458,Bangalore,Dairy,Juice,1,52.86,2024-03-08,21,Card,3.0,52.86
100282,4184,Pune,Snacks,Chips,1,181.88,2024-06-27,54,Cash,3.8,181.88
100283,2636,Hyderabad,Dairy,Chips,7,100.27,2024-05-04,41,Cash,2.9,701.89
100284,4696,Pune,Fruits,Bread,7,52.55,2024-11-08,26,UPI,1.8,367.84999999999997
100285,3999,Mumbai,Vegetables,Milk,2,172.1,2024-11-06,13,UPI,3.1,344.2
100286,4152,Hyderabad,Beverages,Juice,9,58.27,2024-12-03,51,Card,2.4,524.4300000000001
